,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
44,APPROXIMATE,"Freising, Germany",ChIJ6b6lrd9qnkcRImLl2eOsHQg,"Freising, Bavaria, W Germany",48.4028796,11.7411846,1,,OK,"locality,political"
45,APPROXIMATE,"Warsaw, Poland",ChIJAZ-GmmbMHkcR_NPqiCq-8HI,"Warsaw, Poland",52.2296756,21.0122287,1,05,OK,"locality,political"
46,APPROXIMATE,"74400 Chamonix, France",ChIJ5y7-LQZMiUcRgKO65CqrCAQ,"Chamonix, Haute-Savoie, France",45.923697,6.869433,1,74400,OK,"locality,political"
47,APPROXIMATE,"Salzburg, Austria",ChIJsdQIqd2adkcRPfcqQaGD4cE,"Salzburg, Austria",47.80949,13.05501,1,,OK,"locality,political"
48,APPROXIMATE,"Paris, France",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris & Chamonix, Haute-Savoie, France",48.856614,2.3522219,1,,OK,"locality,political"
49,APPROXIMATE,"Paris, France",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",48.856614,2.3522219,1,,OK,"locality,political"
50,,,,"Kamnik, Slovenia, Yugoslavia",,,0,,ZERO_RESULTS,
51,,,,"Split, Croatia, Yugoslavia",,,0,,ZERO_RESULTS,
52,,,,"Kranj, Slovenia, Yugoslavia",,,0,,ZERO_RESULTS,
53,,,,"Kranj, Slovenia, Yugoslavia",,,0,,ZERO_RESULTS,
54,APPROXIMATE,"Khumbu Glacier, Khumjung 56000, Nepal",ChIJH3KzaOWr6TkRHAp3LqlCPHs,"Khumjung, Khumbu",27.9720199,86.8308194,2,56000,OK,"establishment,natural_feature"
55,APPROXIMATE,"Llanfairfechan LL33, UK",ChIJzeCi6ZwEZUgRT-6BeBnRUKA,"Llanfairfechan, Gwynedd, Wales",53.2272609,-3.9775014,1,LL33,OK,postal_town
56,APPROXIMATE,"Friedrichshafen, Germany",ChIJ080TOl4Am0cRIITfpbdrHwQ,"Friedrichshafen, Baden-Wuerttemberg, W Germany",47.6617648,9.4800113,1,,OK,"locality,political"
57,APPROXIMATE,"Talkeetna, AK 99676, USA",ChIJoy8lnw_vy1YRc8fyP3dIJVE,"Talkeetna, Alaska",62.3209046,-150.1066221,1,99676,OK,"locality,political"
58,APPROXIMATE,"Ulm, Germany",ChIJ_Qs1mGlkmUcRkH3fpbdrHwQ,"Ulm, Baden-Wuerttemberg, W Germany",48.4010822,9.9876076,1,,OK,"locality,political"
59,APPROXIMATE,"Neu-Ulm, Germany",ChIJPRlcsfJmmUcRqw5F4zBnSWw,"Neu-Ulm, Bavaria, W Germany",48.3906042,10.0060398,1,,OK,"locality,political"
60,APPROXIMATE,"Neu-Ulm, Germany",ChIJPRlcsfJmmUcRqw5F4zBnSWw,"Neu-Ulm, Bavaria, W Germany",48.3906042,10.0060398,1,,OK,"locality,political"
61,APPROXIMATE,"Bern, Switzerland",ChIJdxs61MA5jkcRmmVXBP5fVcs,"Bern, Switzerland",46.9479739,7.4474468,1,,OK,"locality,political"
62,APPROXIMATE,"Althegnenberg, Germany",ChIJf_30kyaDnkcRcJaL161IHgQ,"Althegnenberg, W Germany",48.2357362,11.0665861,1,,OK,"locality,political"
63,APPROXIMATE,"Khumbu Glacier, Khumjung 56000, Nepal",ChIJH3KzaOWr6TkRHAp3LqlCPHs,"Khumjung, Khumbu",27.9720199,86.8308194,2,56000,OK,"establishment,natural_feature"
64,GEOMETRIC_CENTER,"Khumjung 56000, Nepal",ChIJYQ8y1NMH6TkRbpBwlo_T68U,"Phortse, Khumbu",27.8455699,86.7488087,1,56000,OK,"establishment,point_of_interest,school"
65,,,,"Pangboche, Khumbu",,,0,,ZERO_RESULTS,
66,,,,"Pangboche, Khumbu",,,0,,ZERO_RESULTS,
67,GEOMETRIC_CENTER,"Namche Bazar, Namche VDC 56000, Nepal",ChIJ1Z_Fl9oI6TkRvYIcAHQFG_k,"Namche Bazar, Khumbu",27.8047709,86.7102804,1,56000,OK,"establishment,food,lodging,point_of_interest,restaurant"
68,APPROXIMATE,"Warsaw, Poland",ChIJAZ-GmmbMHkcR_NPqiCq-8HI,"Warsaw, Poland",52.2296756,21.0122287,1,05,OK,"locality,political"
69,APPROXIMATE,"Wrocław, Poland",ChIJv4q11MLpD0cR9eAFwq5WCbc,"Wroclaw, Poland",51.1078852,17.0385376,1,51,OK,"locality,political"
70,APPROXIMATE,"20120 Hernani, Gipuzkoa, Spain",ChIJ7ebK8TauUQ0RPRHnjjNjnyU,"Hernani, Guipuzcoa, Spain",43.2657928,-1.9768497,1,20120,OK,"locality,political"
71,,,,"Ghat, Khumbu",,,0,,ZERO_RESULTS,
72,APPROXIMATE,"Gliwice, Poland",ChIJX7FmbGAwEUcREerLBp-ovJs,"Gliwice, Poland",50.2944923,18.6713802,1,44,OK,"locality,political"
73,APPROXIMATE,"Katowice, Poland",ChIJ0cyhNiPOFkcRu_pZBTUqr7k,"Katowice, Poland",50.2648919,19.0237815,1,40,OK,"locality,political"
74,APPROXIMATE,"39040 Villnöß, Province of Bolzano - South Tyrol, Italy",ChIJIecr7aAReEcRADKRFYcJBwQ,"Villnoss, Bolzano, Italy",46.6405526,11.6848581,1,39040,OK,"administrative_area_level_3,political"
75,APPROXIMATE,"Anchorage, AK, USA",ChIJQT-zBHaRyFYR42iEp1q6fSU,"Anchorage, Alaska",61.2180556,-149.9002778,1,,OK,"locality,political"
76,APPROXIMATE,"Spokane, WA, USA",ChIJ5ee7MFwYnlQRsdmEC9bJ_N0,"Spokane, Washington",47.6587802,-117.4260465,1,,OK,"locality,political"
77,APPROXIMATE,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"San Diego, California",32.715738,-117.1610838,1,,OK,"locality,political"
78,GEOMETRIC_CENTER,"Namche Bazar, Namche VDC 56000, Nepal",ChIJ1Z_Fl9oI6TkRvYIcAHQFG_k,"Namche Bazar, Khumbu",27.8047709,86.7102804,1,56000,OK,"establishment,food,lodging,point_of_interest,restaurant"
79,,,,"Pangboche, Khumbu",,,0,,ZERO_RESULTS,
80,ROOFTOP,"House of Soviets, Sankt-Peterburg, Russia, 196135",ChIJ_w_6fbM6lkYRKyl9JXjeZGw,"St. Petersburg , Russia, USSR",59.852122,30.325527,1,196135,OK,premise
81,,,,"Kharkov, Ukraine, USSR",,,0,,ZERO_RESULTS,
82,,,,"Ekaterinburg , Russia, USSR",,,0,,ZERO_RESULTS,
83,GEOMETRIC_CENTER,"Levitan St, Almaty, Kazakhstan",ChIJY4vVI75ogzgRvOcGmnfRyF0,"Almaty , Kazakhstan, USSR",43.2043639,76.8956955,2,,OK,"establishment,point_of_interest,school"
84,APPROXIMATE,"Moscow, Russia",ChIJybDUc_xKtUYRTM9XV8zWRD0,"Moscow, USSR",55.755826,37.6172999,1,,OK,"locality,political"
85,APPROXIMATE,"Moscow, Russia",ChIJybDUc_xKtUYRTM9XV8zWRD0,"Moscow, USSR",55.755826,37.6172999,1,,OK,"locality,political"
86,GEOMETRIC_CENTER,"Levitan St, Almaty, Kazakhstan",ChIJY4vVI75ogzgRvOcGmnfRyF0,"Almaty , Kazakhstan, USSR",43.2043639,76.8956955,2,,OK,"establishment,point_of_interest,school"
87,APPROXIMATE,"Moscow, Russia",ChIJybDUc_xKtUYRTM9XV8zWRD0,"Moscow, USSR",55.755826,37.6172999,1,,OK,"locality,political"
88,ROOFTOP,"House of Soviets, Sankt-Peterburg, Russia, 196135",ChIJ_w_6fbM6lkYRKyl9JXjeZGw,"St. Petersburg , Russia, USSR",59.852122,30.325527,1,196135,OK,premise
89,ROOFTOP,"Utina Street, Oleksandrivs'ke, Donetsk Oblast, Ukraine, 86488",ChIJv7d9Lx5v4EARiGx37QY-rsY,"Donetsk, Ukraine, USSR",48.269851,38.2862753,1,86488,OK,"establishment,point_of_interest,premise"
90,GEOMETRIC_CENTER,"Levitan St, Almaty, Kazakhstan",ChIJY4vVI75ogzgRvOcGmnfRyF0,"Almaty , Kazakhstan, USSR",43.2043639,76.8956955,2,,OK,"establishment,point_of_interest,school"
91,APPROXIMATE,"Kimberley, BC, Canada",ChIJHdNVeJoue1MRT5e5EqOk5_s,"Kimberley, British Columbia",49.6651567,-115.9967207,1,,OK,"locality,political"
92,APPROXIMATE,"Calgary, AB, Canada",ChIJ1T-EnwNwcVMROrZStrE7bSY,"Calgary, Alberta",51.0486151,-114.0708459,1,,OK,"locality,political"
93,,,,"Pangboche, Khumbu",,,0,,ZERO_RESULTS,
94,APPROXIMATE,"Khunde, Khumjung 56000, Nepal",ChIJdYrACuQI6TkRA7QSAyNCKrs,"Khunde, Khumbu",27.823514,86.7057931,1,56000,OK,"neighborhood,political"
95,APPROXIMATE,"Khunde, Khumjung 56000, Nepal",ChIJdYrACuQI6TkRA7QSAyNCKrs,"Khunde, Khumbu",27.823514,86.7057931,1,56000,OK,"neighborhood,political"
96,APPROXIMATE,"Khumbu Glacier, Khumjung 56000, Nepal",ChIJH3KzaOWr6TkRHAp3LqlCPHs,"Khumjung, Khumbu",27.9720199,86.8308194,2,56000,OK,"establishment,natural_feature"
97,APPROXIMATE,"Omiya Ward, Saitama, Saitama Prefecture, Japan",ChIJ4yHVmEPBGGARS-MIl52AQcc,"Omiya, Saitama, Japan",35.9064871,139.6287539,1,,OK,"locality,political,ward"
98,APPROXIMATE,"Durango, CO, USA",ChIJI_yFvaYCPIcRWn6mo4KIK9w,"Durango, Colorado",37.27528,-107.8800667,1,,OK,"locality,political"
99,APPROXIMATE,"Boulder, CO, USA",ChIJ06-NJ06Na4cRWIAboHw7Ocg,"Boulder, Colorado",40.0149856,-105.2705456,1,,OK,"locality,political"
100,APPROXIMATE,"Olympia, WA, USA",ChIJaVUorsHJkVQRgxuI4pdhFE8,"Olympia, Washington",47.0378741,-122.9006951,1,,OK,"locality,political"
101,APPROXIMATE,"Boulder, CO, USA",ChIJ06-NJ06Na4cRWIAboHw7Ocg,"Boulder, Colorado",40.0149856,-105.2705456,1,,OK,"locality,political"
102,APPROXIMATE,"Spokane, WA, USA",ChIJ5ee7MFwYnlQRsdmEC9bJ_N0,"Spokane, Washington",47.6587802,-117.4260465,1,,OK,"locality,political"
103,APPROXIMATE,"Newton, MA, USA",ChIJpSUHhAmC44kRfq9wm3sIklU,"Newton, Massachusetts",42.3370413,-71.2092214,1,,OK,"locality,political"
104,,,,"Yilajung, Khumbu",,,0,,ZERO_RESULTS,
105,GEOMETRIC_CENTER,"Khumjung 56000, Nepal",ChIJYQ8y1NMH6TkRbpBwlo_T68U,"Phortse, Khumbu",27.8455699,86.7488087,1,56000,OK,"establishment,point_of_interest,school"
106,APPROXIMATE,"Aurora, CO, USA",ChIJmyu6IoZYbIcReOaii2jgQYQ,"Aurora, Colorado",39.7294319,-104.8319195,1,,OK,"locality,political"
107,APPROXIMATE,"Spokane, WA, USA",ChIJ5ee7MFwYnlQRsdmEC9bJ_N0,"Spokane, Washington",47.6587802,-117.4260465,1,,OK,"locality,political"
108,APPROXIMATE,"Walnut Creek, CA, USA",ChIJ86V7GXT0j4ARbMMDIJdJbuA,"Walnut Creek, California",37.9100783,-122.0651819,1,,OK,"locality,political"
109,APPROXIMATE,"San Francisco, CA, USA",ChIJIQBpAG2ahYAR_6128GcTUEo,"San Francisco, California",37.7749295,-122.4194155,1,,OK,"locality,political"
110,APPROXIMATE,"Tokyo, Japan",ChIJ51cu8IcbXWARiRtXIothAS4,"Tokyo, Japan",35.6894875,139.6917064,1,,OK,"administrative_area_level_1,locality,political"
111,APPROXIMATE,"Tokyo, Japan",ChIJ51cu8IcbXWARiRtXIothAS4,"Tokyo, Japan",35.6894875,139.6917064,1,,OK,"administrative_area_level_1,locality,political"
112,APPROXIMATE,"Tokyo, Japan",ChIJ51cu8IcbXWARiRtXIothAS4,"Tokyo, Japan",35.6894875,139.6917064,1,,OK,"administrative_area_level_1,locality,political"
113,APPROXIMATE,"Oguni, Aso District, Kumamoto Prefecture, Japan",ChIJQyrCegs5QTURmfNSZzo0MQI,"Oguni, Kumamoto, Japan",33.1215678,131.068144,1,,OK,"locality,political"
114,APPROXIMATE,"Tokyo, Japan",ChIJ51cu8IcbXWARiRtXIothAS4,"Tokyo, Japan",35.6894875,139.6917064,1,,OK,"administrative_area_level_1,locality,political"
115,APPROXIMATE,"Tokyo, Japan",ChIJ51cu8IcbXWARiRtXIothAS4,"Tokyo, Japan",35.6894875,139.6917064,1,,OK,"administrative_area_level_1,locality,political"
116,APPROXIMATE,"Kameyama, Mie Prefecture, Japan",ChIJw275-GfwA2ARZyMCLcRxIeA,"Kameyama, Mie, Japan",34.8557554,136.4516451,1,,OK,"locality,political"
117,APPROXIMATE,"Numata, Gunma Prefecture, Japan",ChIJfaPM3MhaHmARphH--ih9mLk,"Numata, Gunma, Japan",36.6460769,139.0441608,1,,OK,"locality,political"
118,APPROXIMATE,"Beding 45500, Nepal",ChIJxyo5TV6C6TkRT4GAy5PjFU4,"Beding, Dolakha",27.9030791,86.37632,1,45500,OK,"locality,political"
119,APPROXIMATE,"Darjeeling, West Bengal, India",ChIJuwH1TGUu5DkRKnDUeVlVdUE,"Darjeeling, India",27.0360066,88.2626751,1,,OK,"locality,political"
120,,,,"Makur, Uttarkashi, UP, India",,,0,,ZERO_RESULTS,
121,APPROXIMATE,"Gangtok, Sikkim, India",ChIJ--oFWGql5jkRII8cUCwT1nM,"Gangtok, Sikkim, India",27.3389356,88.6065035,1,,OK,"locality,political"
122,APPROXIMATE,Leh,ChIJhe1fRCHr_TgREPeGUJcJu9E,"Leh, J&K, India",34.1525864,77.5770535,1,,OK,"locality,political"
123,,,,"Thamo, Khumbu",,,0,,ZERO_RESULTS,
124,APPROXIMATE,"Sofia, Bulgaria",ChIJ9Xsxy4KGqkARYF6_aRKgAAQ,"Sofia, Bulgaria",42.6977082,23.3218675,1,,OK,"locality,political"
125,APPROXIMATE,"Sofia, Bulgaria",ChIJ9Xsxy4KGqkARYF6_aRKgAAQ,"Sofia, Bulgaria",42.6977082,23.3218675,1,,OK,"locality,political"
126,APPROXIMATE,"Sofia, Bulgaria",ChIJ9Xsxy4KGqkARYF6_aRKgAAQ,"Sofia, Bulgaria",42.6977082,23.3218675,1,,OK,"locality,political"
127,APPROXIMATE,"Sofia, Bulgaria",ChIJ9Xsxy4KGqkARYF6_aRKgAAQ,"Sofia, Bulgaria",42.6977082,23.3218675,1,,OK,"locality,political"
128,APPROXIMATE,"Plovdiv, Bulgaria",ChIJPXZIogjRrBQRoDgTb_rRcGQ,"Plovdiv, Bulgaria",42.1354079,24.7452904,1,,OK,"locality,political"
129,APPROXIMATE,"Christchurch, New Zealand",ChIJAe3FY0gvMm0RRZl5hIbvAAU,"Christchurch, New Zealand",-43.5320544,172.6362254,1,,OK,"locality,political"
130,APPROXIMATE,"Christchurch, New Zealand",ChIJAe3FY0gvMm0RRZl5hIbvAAU,"Christchurch, New Zealand",-43.5320544,172.6362254,1,,OK,"locality,political"
131,APPROXIMATE,"Bellevue, WA, USA",ChIJQWCmo89rkFQRZQfQ6oJUz7o,"Bellevue, Washington",47.6101497,-122.2015159,1,,OK,"locality,political"
132,,,,"Bratislava, Czechoslovakia",,,0,,ZERO_RESULTS,
133,,,,"Bratislava, Czechoslovakia",,,0,,ZERO_RESULTS,
134,,,,"Yilajung, Khumbu",,,0,,ZERO_RESULTS,
135,APPROXIMATE,"Oslo, Norway",ChIJOfBn8mFuQUYRmh4j019gkn4,"Oslo, Norway",59.9138688,10.7522454,1,,OK,"locality,political"
136,APPROXIMATE,"Dallas, TX, USA",ChIJS5dFe_cZTIYRj2dH9qSb7Lk,"Dallas, Texas",32.7766642,-96.7969879,1,,OK,"locality,political"
137,APPROXIMATE,"Hesket Newmarket, Wigton CA7 8JF, UK",ChIJwymSVxXgfEgR-mPaYLPIGqM,"Hesket Newmarket, Cumbria, England",54.738714,-3.0238591,1,CA7 8JF,OK,"locality,political"
138,APPROXIMATE,"Newton, MA, USA",ChIJpSUHhAmC44kRfq9wm3sIklU,"Newton, Massachusetts",42.3370413,-71.2092214,1,,OK,"locality,political"
139,,,,"Ostenotad, Norway",,,0,,ZERO_RESULTS,
140,APPROXIMATE,"Oslo, Norway",ChIJOfBn8mFuQUYRmh4j019gkn4,"Oslo, Norway",59.9138688,10.7522454,1,,OK,"locality,political"
141,APPROXIMATE,"Oslo, Norway",ChIJOfBn8mFuQUYRmh4j019gkn4,"Oslo, Norway",59.9138688,10.7522454,1,,OK,"locality,political"
142,APPROXIMATE,"London, UK",ChIJdd4hrwug2EcRmSrV3Vo6llI,"London, England",51.5073509,-0.1277583,1,,OK,"locality,political"
143,APPROXIMATE,"Tromsø, Norway",ChIJ_XE7bFLExEUR075ujoXKPQI,"Tromso, Norway",69.6492047,18.9553239,1,,OK,"locality,political"
144,APPROXIMATE,"Khumbu Glacier, Khumjung 56000, Nepal",ChIJH3KzaOWr6TkRHAp3LqlCPHs,"Khumjung, Khumbu",27.9720199,86.8308194,2,56000,OK,"establishment,natural_feature"
145,APPROXIMATE,"Khunde, Khumjung 56000, Nepal",ChIJdYrACuQI6TkRA7QSAyNCKrs,"Khunde, Khumbu",27.823514,86.7057931,1,56000,OK,"neighborhood,political"
146,,,,"Yilajung, Khumbu",,,0,,ZERO_RESULTS,
147,,,,"Pangboche, Khumbu",,,0,,ZERO_RESULTS,
148,,,,"Yilajung, Khumbu",,,0,,ZERO_RESULTS,
149,APPROXIMATE,"Khumbu Glacier, Khumjung 56000, Nepal",ChIJH3KzaOWr6TkRHAp3LqlCPHs,"Khumjung, Khumbu",27.9720199,86.8308194,2,56000,OK,"establishment,natural_feature"
150,GEOMETRIC_CENTER,"Namche Bazar, Namche VDC 56000, Nepal",ChIJ1Z_Fl9oI6TkRvYIcAHQFG_k,"Namche Bazar, Khumbu",27.8047709,86.7102804,1,56000,OK,"establishment,food,lodging,point_of_interest,restaurant"
151,,,,"Thami, Khumbu",,,0,,ZERO_RESULTS,
152,APPROXIMATE,"Tarragona, Spain",ChIJWfHd09v8oxIRsqOHE6dpBZI,"Tarragona, Spain",41.1188827,1.2444909,1,,OK,"locality,political"
153,APPROXIMATE,"Barcelona, Spain",ChIJ5TCOcRaYpBIRCmZHTz37sEQ,"Barcelona, Spain",41.3850639,2.1734035,1,,OK,"locality,political"
154,APPROXIMATE,"Mataró, Barcelona, Spain",ChIJcdyt1xi1pBIRGFkrNy-Taw0,"Mataro, Barcelona, Spain",41.5381124,2.4447406,1,,OK,"locality,political"
155,APPROXIMATE,"Lisankhu, Nepal",ChIJewex4h-66zkR1nF2Qnp147I,"Lisankhu, Sindhupalchowk",27.6633586,85.8383857,1,,OK,"locality,political"
156,APPROXIMATE,"Kabre, Phulping Dandagaun 45314, Nepal",ChIJwWh7avax6zkR248oiyaSPnU,Kabre ,27.7655318,85.7807603,3,45314,OK,"neighborhood,political"
157,,,,"Dhorphu, Salleri, Solukhumbu",,,0,,ZERO_RESULTS,
158,APPROXIMATE,"Asaka, Saitama Prefecture, Japan",ChIJFcW9QpvpGGARpS2DJd5GDYQ,"Asaka, Saitama, Japan",35.7972524,139.5939165,1,,OK,"locality,political"
