,PEAKID,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,REGION,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PSTATUS,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO,firstsummitdate,Unnamed: 0,accuracy,formatted_address,google_place_id,latitude,longitude,number_of_results,postcode,status,type
306,KYAB,Kyabura,"Ghabur, Temachungi","Kangchenjunga Himal (W of Kumbhakarna, Sobitongie and Phole)",6294,20650,9,1,True,False,False,,Opened in 2002,1,1,,0,0,,,,Unclimbed?,,,,,306,GEOMETRIC_CENTER,"Kyambura Game Reserve, Uganda",ChIJG70Vplit2BkRWtyc8U7A27E,27.902778,88.038889,1,,OK,"establishment,park,point_of_interest,premise"
307,KUML,Kumlung,Kang Kuru?,Damodar Himal (NE of Saribung and W of Bhrikuti),6355,20850,3,5,True,False,False,,Opened in 2002,1,2,,2008,3,KUML08301,Oct 14,France,"Paulo Grobel, Paul Vulin",,,,Oct 14 2008,307,APPROXIMATE,"Khumlung, Assam 788830, India",ChIJORa2YzyoTzcRmHaspjk80Nw,28.9025,84.185,1,788830,OK,"locality,political"
308,DGAR,Dhaulagari,Dhaulasiri,"Raksha Urai Himal (E of Bobaye, S of Raksha Urai)",6638,21778,2,7,True,False,False,,Opened in 2002,1,1,,0,0,,,,Unclimbed,,,,,308,APPROXIMATE,"Dhaulagiri, Mudi 33200, Nepal",ChIJDZtku1P7vTkRO3Ho_tKROcQ,28.6984652,83.4873496,1,33200,OK,"establishment,natural_feature"
309,LHAY,Lhayul Peak,,Api Himal (SW of Api Main),6395,20981,2,7,True,False,False,,Opened in 2002,1,1,,0,0,,,,Unclimbed,,,,,309,,,,29.976667,80.868333,0,,ZERO_RESULTS,
310,MERR,Merra,,Kangchenjunga Himal (WNW of Anidesh Chuli),6334,20781,9,1,True,False,False,,Opened in 2002,1,2,,2006,3,MERR06301,Oct 18,Denmark,Claus Ostergaard,,,,Oct 18 2006,310,APPROXIMATE,"Merra, West Bengal 721121, India",ChIJR-xRuKTp9zkRC9QDQsev7YM,27.741048,88.016798,1,721121,OK,"locality,political"
311,PBUK,Pabuk Kang,Kangata,Ohmi Kangri Himal (E of Nangamari I on Tibetan border),6244,20486,6,1,True,False,False,,Opened in 2003,4,1,,0,0,,,,Unclimbed,,,,,311,,,,27.949722,87.843889,0,,ZERO_RESULTS,
312,YANK,Yanme Kang,Yanme Khang,Ohmi Kangri Himal (NW of Nangamari on Tibetan border),6206,20361,6,1,True,False,False,,Opened in 2003,4,1,,0,0,,,,Unclimbed,,,,,312,,,,27.946111,87.850556,0,,ZERO_RESULTS,
313,DANS,Danphe Shail,Danfe Shail,Palchung Himal (N of Kanjiroba on Tibetan border),6103,20023,11,7,True,False,False,,Opened in 2002,4,1,,0,0,,,,Unclimbed,,,,,313,,,,29.672222,83.008889,0,,ZERO_RESULTS,
314,GAN7,Ganesh VII,,Ganesh Himal (E of Ganesh I in Tibet),6350,20833,5,4,False,True,False,,,2,1,,0,0,,,,Unclimbed?,,,,,314,GEOMETRIC_CENTER,"248, 1st Main, A V Road, Near-Victoriya Hospital Chamarajpet Bengaluru,, Karnatak, Chamrajpet, Bengaluru, Karnataka 560018, India",ChIJUYfVS_8VrjsRxwjKqmY0PjQ,,,3,560018,OK,"establishment,moving_company,point_of_interest,storage"
315,PHAR,Pharilapcha,,Khumbu Himal (SW of Gokyo Lake),6017,19741,12,2,False,False,True,2002.0,Opened in 2002,1,2,,2003,1,PHAR03101,May 19,Nepal,"Dinesh Devkota, Ongchu Sherpa, Namgyal Sherpa, Lhakpa Sherpa",,,,May 19 2003,315,,,,27.929167,86.683333,0,,ZERO_RESULTS,
316,THOR,Thorong Peak,Thorung Peak,Muktinath Himal,6144,20157,1,5,True,False,False,,,1,2,,2007,3,THOR07301,Nov 08,"Japan, Nepal","Satoru Endo, Mikio Iga, Terue Katakura, Mitsukuni Oka, Rikio Takahashi, Hiroshi Yumoto, Gadjet Bis Gurung, Ang Dawa Tamang, Hit Bahadur Tamang, Pasang Tamang",1st official ascent (likely many others previously),,,Nov 08 2007,316,APPROXIMATE,"Thorong La, Tanki Manang 33500, Nepal",ChIJ4dYEtow9vjkRr6zdc2LGjEI,28.7933777,83.938669,1,33500,OK,"establishment,natural_feature"
317,CHKA,Chamar Kang,"Chharka, Kangtega","Mukut Himal (NW of Tsharka village, SE of Tingkyu village)",6060,19882,16,6,False,True,False,,,1,2,,2007,3,CHKA07301,Sep 21,"Japan, Nepal","Tamotsu Ohnishi, Toshitsugi Irisawa, Koichi Kato, Chhepa Sherpa",,,,Sep 21 2007,317,,,,,,0,,ZERO_RESULTS,
318,NUPK,Nupche Kang,"Friendship Peak, Nupche Himal",Khumbu Himal (ESE of Nangpa La on Tibetan border),6576,21575,12,2,True,False,False,,Opened in 2014,4,2,,1964,1,NUPK64101,Apr 06,"W Germany, Nepal","Fritz Stammberger, Aila Sherpa",,,,Apr 06 1964,318,,,,28.101389,86.605,0,,ZERO_RESULTS,
319,PUCH,Punchen Himal,Puchen Himal,Shringi Himal (in Tsum Valley N of Pashuwo on Tibetan border),6049,19846,5,4,True,False,False,,,4,1,,0,0,,,,Unclimbed,,,,,319,,,,28.661111,85.146667,0,,ZERO_RESULTS,
320,KAKU,Kang Kuru,,"Mustang Himal (NNE of Tsartse, WSW of Ghami village)",6344,20814,16,6,False,True,False,,,1,2,,2008,1,KAKU08101,Apr 16,USA,"Peter Athans, Theodore Hessler",,,,Apr 16 2008,320,APPROXIMATE,"Kangkuru, 8481, South Africa",ChIJs0bhmDPZnh4R34ZEzLYLsak,28.9,84.188333,1,8481,OK,"locality,political"
321,AMPM,Amphu Middle,Amphu North,Khumbu Himal (NE of Amphu Laptsa),6202,20348,12,2,False,True,False,,Requires permit for Amphu I,1,2,,2008,1,AMPM08101,Apr 20,Germany,"Olaf Rieck, Alexander Graeber",,,,Apr 20 2008,321,ROOFTOP,"315 E Prince Rd, Tucson, AZ 85705, USA",ChIJd9sgqt5z1oYRf8x9SXJFoAs,,,1,85705,OK,"establishment,point_of_interest,school"
