,PEAKID,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,REGION,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PSTATUS,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO,firstsummitdate,Unnamed: 0,accuracy,formatted_address,google_place_id,latitude,longitude,number_of_results,postcode,status,type
357,RAUN,Raungsiyar,,Rolwaling Himal (N of Pimu),6224,20420,19,2,True,False,False,,Opened in 2014,1,2,,2015,3,RAUN15301,Oct 04,Nepal,"Dawa Gyalje Sherpa, Nima Tenji Sherpa, Tashi Sherpa",,,,Oct 04 2015,357,ROOFTOP,"6401 France Ave S, Minneapolis, MN 55435, USA",ChIJqZad0rom9ocROGwxD-IENUk,27.907778,86.559444,2,55435,OK,"doctor,establishment,health,point_of_interest"
358,LDAK,Langdak,,Rolwaling Himal (N of Raungsiyar and Pimu),6220,20407,19,2,True,False,False,,Opened in 2014,1,2,,2015,3,LDAK15301,Oct 05,Nepal,"Dawa Gyalje Sherpa, Nima Tenji Sherpa, Tashi Sherpa",,,,Oct 05 2015,358,APPROXIMATE,"Landak Regency, West Kalimantan, Indonesia",ChIJc2KDMSIp_TERHg8Ta5ZrGrI,27.916944,86.563611,2,,OK,"administrative_area_level_2,political"
359,TKRE,Takargo East,"Thakar Go East, Dragker-go East",Rolwaling Himal (ESE of Takargo),6152,20184,19,2,True,False,False,,Opened in 2014,1,2,,2015,3,TKRE15301,Oct 06,Nepal,"Dawa Gyalje Sherpa, Nima Tenji Sherpa, Tashi Sherpa",,,,Oct 06 2015,359,,,,27.871944,86.523333,0,,ZERO_RESULTS,
360,OMIT,Omitso Go,Omi Tso Go,Rolwaling Himal (NE of Kang Nachugo on Tibetan border),6332,20774,19,2,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,360,,,,27.915278,86.458056,0,,ZERO_RESULTS,
361,CBAM,Chhopa Bamare,Chomo Pamari,Rolwaling Himal (NW of Lamabagar on Tibetan border),6109,20043,19,2,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,361,,,,28.057222,86.091944,0,,ZERO_RESULTS,
362,YALW,Yalung Kang West,,Kangchenjunga Himal (W summit of Yalung Kang),8077,26499,9,1,True,False,False,,Opened in 2014,1,1,,0,0,,,,Unclimbed,,,,,362,APPROXIMATE,Jalung Kang,ChIJ3UKSHDdY5jkRJGyibMOk2Ks,27.706111,88.125556,1,,OK,"establishment,natural_feature"
363,KANN,Kangchenjunga North,,Kangchenjunga Himal (small knob north of Main summit),7938,26043,9,1,True,False,False,,Opened in 2014,5,1,,0,0,,,,Unclimbed?,Possibly traversed on KANG ascents from north,,,,363,APPROXIMATE,Kangchenjunga,ChIJU4iVF0pY5jkRTG3ch4BEb3E,27.7024914,88.147535,1,,OK,"establishment,natural_feature"
364,KBNE,Kangbachen East,Kambachen East,Kangchenjunga Himal (plateau SE of Kangbachen?),7780,25525,9,1,True,False,False,,Opened in 2014,1,1,,0,0,,,,Unclimbed,,,,,364,APPROXIMATE,"Kangbachen, Lelep 57500, Nepal",ChIJyS7RkN1Z5jkR9Ac5bCcoHH0,27.7166,88.1105,1,57500,OK,"establishment,natural_feature"
365,HERZ,Herzog Peak,Khangsar Khang West,Annapurna Himal (WSW of Roc Noir),7555,24787,1,5,True,False,False,,Opened in 2014,1,2,,0,0,,,,Climbed?,Likely climbed on traverses to ANNE,,,,365,,,,28.609167,83.860278,0,,ZERO_RESULTS,
366,GANW,Gangapurna West,"Lachenal Peak, Asapurna",Annapurna Himal (W of Gangapurna),7140,23425,1,5,True,False,False,,Opened in 2014,1,1,,0,0,,,,Unclimbed?,,,,,366,APPROXIMATE,"Gangapurna, 33500, Nepal",ChIJ1zwrz7whvjkRL6G_qZCrPn4,28.601111,83.943889,1,33500,OK,"establishment,natural_feature"
367,CHMR,Chamar,Shringi Himal,Shringi Himal (SSE of Chamar),7161,23494,5,4,True,False,False,,,1,1,,0,0,,,,Unclimbed?,,,,,367,,,,28.555278,84.946667,0,,ZERO_RESULTS,
368,NGAP,Nepal Gap Peak,Nepal Gyap Peak,Kangchenjunga Himal (ENE of Gimmegela on Indian border),7007,22989,9,1,True,False,False,,Opened in 2014,5,1,,0,0,,,,Unclimbed?,,,,,368,,,,27.746389,88.180833,0,,ZERO_RESULTS,
369,GAUS,Gaurishankar South,Gauri,Rolwaling Himal (S of Gaurishankar),7010,22999,19,2,True,False,False,,Opened in 2014,1,2,,1979,3,GAUS79301,Nov 09,UK,"Peter Boardman, Pemba Lama, Timothy Leach, Guy Neithardt",,,,Nov 09 1979,369,APPROXIMATE,"Gauri Sankar, 45500, Nepal",ChIJbW0Mj16B6TkRRntZizeuw0Q,27.95,86.3333333,1,45500,OK,"establishment,natural_feature"
370,BURK,Burke Kang,Burke Khang,Khumbu Himal (ENE of Hungchhi on Tibetan border),6942,22776,12,2,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,370,,,,28.036944,86.773889,0,,ZERO_RESULTS,
371,HMLE,Himlung East,,Peri Himal (E of Himlung Himal on Tibetan border),6932,22743,18,5,True,False,False,,Opened in 2014,4,2,,2017,1,HMLE17101,May 08,"France, Nepal","Paulo Grobel, Isabelle Guillaume, Rajan Lama Bhote, Jangbu Sherpa",,,,May 08 2017,371,,,,28.769167,84.438889,0,,ZERO_RESULTS,
372,YNGS,Yangra Kangri South,"Yangra South, Ganesh I South",Ganesh Himal (NW of Ganesh III on Tibetan border),6863,22516,5,4,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed?,,,,,372,APPROXIMATE,Yangra,ChIJi8CG2cm66jkR92TnM6OJTwg,28.346389,85.11,1,,OK,"establishment,natural_feature"
373,NUPL,Nup La Kang,Nupla Khang,Khumbu Himal (N of Nup La on Tibetan border),6861,22510,12,2,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,373,,,,28.074167,86.766944,0,,ZERO_RESULTS,
374,CHUM,Chumbu,,Khumbu Himal (WSW of Khangri Shar near Tibetan border),6859,22503,12,2,True,False,False,,Opened in 2014,1,1,,0,0,,,,Unclimbed,,,,,374,GEOMETRIC_CENTER,"Chumbu Rd, Chingola, Zambia",ChIJvzMNBtSobRkRYY_7s2U5eSg,28.018889,86.7925,1,,OK,route
375,PHUG,Phu Kang Go,"Phu Khang Go, Athahra Saya Khola Himal",Peri Himal (SE of Cheo on Tibetan border),6767,22201,18,5,True,False,False,,Opened in 2014,4,2,,2011,3,PHUG11301,Oct 27,"France, Belgium","Paulo Grobel, Benoit Van Lerberghe",,,,Oct 27 2011,375,ROOFTOP,"5201 NJ-38, Merchantville, NJ 08109, USA",ChIJEQTkRmPJxokRy4Z9khqpQD0,28.734722,84.493889,1,08109,OK,"establishment,food,point_of_interest,restaurant"
376,GURA,Guras,,Guras Himal (NE of Nampa on Tibetan border),6744,22126,2,7,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,376,ROOFTOP,"5530 13400 S, Herriman, UT 84096, USA",ChIJ-aQXs-CEUocRES2LY1NkiS4,30.043056,81.108889,1,84096,OK,"establishment,food,point_of_interest,restaurant"
377,THRK,Tharke Kang,Tharke Khang,Khumbu Himal (S of Nup La on Tibetan border),6710,22014,12,2,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,377,,,,28.043889,86.751667,0,,ZERO_RESULTS,
378,HUGO,Hulang Go,,Peri Himal (WNW of Ratna Chuli on Tibetan border),6687,21939,18,5,True,False,False,,Opened in 2014,5,1,,0,0,,,,Unclimbed,,,,,378,,,,28.872778,84.345556,0,,ZERO_RESULTS,
379,SHNW,Shershon Northwest,,Makalu Himal (NW of Shershon on Tibetan border),6682,21923,14,2,True,False,False,,Opened in 2014,4,2,,1980,3,SHNW80301,Oct 15,"UK, France","Doug Scott, Roger Baxter-Jones, Georges Bettembourg",,,,Oct 15 1980,379,APPROXIMATE,"Shershon, 56900, Nepal",ChIJ7cwBT0j36DkR4UQrbnRXMUg,27.855278,87.110833,1,56900,OK,"neighborhood,political"
380,AGLE,Agole East,Angole East,Rolwaling Himal (E of Tengi Ragi Tau),6675,21900,19,2,True,False,False,,Opened in 2014,1,1,,0,0,,,,Unclimbed,,,,,380,ROOFTOP,"330 Townsend St, San Francisco, CA 94107, USA",ChIJMZRbK9R_j4ARICcvBjze6Yc,27.850278,86.563611,1,94107,OK,"establishment,point_of_interest"
381,ROLK,Rolwaling Kang,Rolwaling Khang,Rolwaling Himal (NNE of Tarkago),6664,21864,19,2,True,False,False,,Opened in 2014,1,2,,2016,3,ROLK16301,Oct 19,Japan,"Yasuhiro Hanatani, Yuichiro Iida, Maho Ishio, Yohei Kayama, Keisuke Tsunoda, Takuya Yoshikawa",,,,Oct 19 2016,381,,,,27.8975,86.523056,0,,ZERO_RESULTS,
382,YARW,Yarwa,,Guras Himal (NW of Nampa on Tibetan border),6644,21798,2,7,True,False,False,,Opened in 2014,1,1,,0,0,,,,Unclimbed,,,,,382,GEOMETRIC_CENTER,"Yarwa Road, Jimeta, Nigeria",ChIJ_c2nod9q_BARWc0voiFdFe8,30.054167,81.0925,1,,OK,route
383,YANG,Yangri,Jugal,Jugal Himal (N of Phurbi Chhyachu on Tibetan border),6535,21440,8,3,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,383,GEOMETRIC_CENTER,"Zhongba, Xigaze, Tibet, China",ChIJqaLdAdmLuTkRGdFWRV5yGYc,28.142778,85.873889,2,,OK,"establishment,point_of_interest"
384,LCHN,Lachama North,,Changla Himal (N of Lachama Chuli on Tibetan border),6628,21745,17,7,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,384,GEOMETRIC_CENTER,"Na Lachu, 719 00 Slezská Ostrava, Czechia",ChIJbbvC4an8E0cR3It4HppOqwg,30.143333,82.2,1,719 00,OK,route
385,CHNG,Changdi,,Palchung Himal (SE of Kanti Himal peak on Tibetan border),6623,21729,11,7,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,385,GEOMETRIC_CENTER,"Panxian, Liupanshui, Guizhou, China",ChIJH7u3tBhGxDYROUAebihw0IE,29.719167,82.798611,1,,OK,"establishment,point_of_interest"
386,GOLD,Goldum Peak,Pangri Goldumba,Jugal Himal,6632,21759,8,3,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,386,APPROXIMATE,"Gold Dust Peak, Colorado 81632, USA",ChIJ8bRG7lnUQYcRu_Pluj0vJZw,28.328056,85.729167,1,81632,OK,"establishment,natural_feature"
387,THOC,Thoche Go,,Peri Himal (SE of Cheo Himal on Tibetan border),6602,21660,18,5,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,387,APPROXIMATE,"Thoche, Nepal",ChIJJVl8rth9lTkR5LvtPftfQ8Q,28.757778,84.459722,1,,OK,"locality,political"
388,KCHS,Kangchung Shar,"Khangchung, Kangcho Shar, UIAA Peak",Khumbu Himal (NE of Gokyo Lake),6063,19892,12,2,True,False,False,,Opened in 2014,1,2,,1984,3,KCHS84301,Nov 01,Yugoslavia,Francek Knez,Ascents reported by Jan Kielkowski: on 1 Nov 1984 by Francek Knez; on 21 Nov 1984 by Trevor Pilling,,,Nov 01 1984,388,,,,27.983611,86.739722,0,,ZERO_RESULTS,
389,PHUN,Phu Kang North,Phu Khang North,Peri Himal (N of Cheo Himal on Tibetan border),6580,21588,18,5,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,389,ROOFTOP,"5201 NJ-38, Merchantville, NJ 08109, USA",ChIJEQTkRmPJxokRy4Z9khqpQD0,28.820833,84.437778,1,08109,OK,"establishment,food,point_of_interest,restaurant"
390,PTHE,Pethangtse East,,Khumbu Himal (ESE of Pethangtse on Tibetan border),6572,21562,12,2,True,False,False,,Opened in 2014,4,2,,2008,1,PTHE08101,May 16,UK,"Andrew Hughes, Alistair Barnard, Nichcolas Beighton, Chris Fawcett, Daniel Greig-Smith, Benjamin Sherwood",Climbed by British Services Makalu Expedition led by Andrew Hughes,,,May 16 2008,390,,,,27.949444,87.036111,0,,ZERO_RESULTS,
391,PHNG,Phungi,,Peri Himal (SE of Ratna Chuli on Tibetan border),6524,21404,18,5,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,391,APPROXIMATE,"Phungi, Chhattisgarh 497116, India",ChIJaavj7Mq1iTkRnKnSdCBYmJ0,28.83,84.402778,1,497116,OK,"locality,political"
392,KNTE,Kanti Himal East,,Kanti Himal (ENE of Kanti Himal on Tibetan border),6516,21378,11,7,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,392,GEOMETRIC_CENTER,"SRIRUPA CINEMA ROAD,BESIDE SARASWATI CLUB, VILL-HATABARI,, Damodar Pur, Kanthi, Contai, West Bengal 721401, India",ChIJB3jCb_AmAzoRX44mt0SHHT8,29.853056,82.702222,1,721401,OK,"establishment,health,point_of_interest,store"
393,JARK,Jarkya,,Manaslu Himal (N of Larkya La on Tibetan border),6473,21237,15,4,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,393,APPROXIMATE,"Baragaon Jarkhya, Rajasthan, India",ChIJOyc1V8uvbTkRKXF1L5rVPFw,28.741944,84.526944,2,,OK,"locality,political"
394,MARW,Mariyang West,,Kanti Himal (WSW of Mariyang on Tibetan border),6455,21178,11,7,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,394,,,,29.689444,82.828889,0,,ZERO_RESULTS,
395,MAYT,Mayonthang Kang,Mayun Thang Khang,Kanti Himal (NW of Changdi Himal on Tibetan border),6449,21158,11,7,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,395,,,,29.769722,82.746667,0,,ZERO_RESULTS,
396,LNJU,Langju,,Shringi Himal (S of Tobsar),6426,21083,5,4,True,False,False,,Opened in 2014,1,1,,0,0,,,,Unclimbed,,,,,396,APPROXIMATE,"Langjuzhen, Jinxi, Fuzhou, Jiangxi, China",ChIJg5YWYWK8OzQR_QWUQwQqKPE,28.545833,85.055278,1,,OK,"political,sublocality,sublocality_level_2"
397,JYAC,Jyachhung,,Byas Risi Himal (NNW of Nampa on Tibetan border),6338,20794,2,7,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,397,,,,30.106389,81.085833,0,,ZERO_RESULTS,
398,GYLA,Gyala,,Manaslu Himal (NNE of Larkya La on Tibetan border),6363,20876,15,4,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,398,APPROXIMATE,"Đala, Serbia",ChIJCYNO-UiOREcRkpN9wCkUbuA,28.751944,84.558889,1,,OK,"locality,political"
399,DOLM,Dolma Kang,,Rolwaling Himal (SE of Gaurishankar on Tibetan border),6332,20774,19,2,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed?,,,,,399,,,,27.937222,86.350278,0,,ZERO_RESULTS,
400,KAIP,Kaipuchonam,,Kanti Himal (WNW of Changdi on Tibetan border),6329,20764,11,7,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,400,,,,29.725556,82.783333,0,,ZERO_RESULTS,
401,LDNG,Langdung,,Rolwaling Himal (NE of Kang Nachugo on Tibetan border),6386,20951,19,2,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,401,GEOMETRIC_CENTER,"ĐT972, Chính Lý, Lý Nhân, Hà Nam, Vietnam",ChIJSUZo2yzENTER3eG_3GihSdg,27.947778,86.484167,1,,OK,"establishment,place_of_worship,point_of_interest"
402,DZA2,Dzanye II,,Janak Himal (S of Danzye Peak),6318,20728,6,1,True,False,False,,Opened in 2014,4,2,,2015,3,DZA215301,Oct 04,Japan,"Takanori Mashimo, Kotaro Myatsu, Kenta Kimura, Shinnosuke Ashikari, Shun Katsurai, Takehiro Nozawa",,,,Oct 04 2015,402,,,,27.902222,88.041111,0,,ZERO_RESULTS,
403,PAMA,Pama Himal,,Shringi Himal (N of Chamar on Tibetan border),6300,20669,5,4,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,403,,,,28.580278,84.951111,0,,ZERO_RESULTS,
404,PERH,Peri Himal,,Peri Himal (SE of Cheo Himal on Tibetan border),6296,20656,18,5,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,404,,,,28.747222,84.481667,0,,ZERO_RESULTS,
405,TAKL,Takla Kang,Takla Khang,Kanti Himal (SSE of Kanti Himal peak on Tibetan border),6276,20591,11,7,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,405,,,,29.761111,82.695278,0,,ZERO_RESULTS,
406,KOGI,Kogi Khang North,Kogi Kang North,Kanti Himal (ESE of Kanti Himal peak on Tibetan border),6275,20587,11,7,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,406,,,,29.814444,82.739167,0,,ZERO_RESULTS,
407,ASAJ,Asajya Tuppa,,Gorakh Himal (ENE of Simikot on Tibetan border),6265,20554,17,7,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,407,,,,30.0625,82.279722,0,,ZERO_RESULTS,
408,KOJS,Kojichuwa South,,Kanti Himal (SW of Kojichuwa Chuli on Tibetan border),6264,20551,11,7,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,408,ROOFTOP,"Japan, 〒761-3110 Kagawa-ken, Kagawa-gun, Naoshima-chō, (Sonota), ８４５−７",ChIJR1tZ5SfwUzUR_TSV-Xq4BGQ,29.848611,82.631111,1,761-3110,OK,"cafe,establishment,food,point_of_interest"
409,PKAR,Pankar Himal,,Manaslu Himal (ENE of Samagaon on Tibetan border),6264,20551,15,4,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,409,GEOMETRIC_CENTER,"Gf5, Akshar Complex, Near Shivranjani Cross Road, Satellite, Satellite, Shivranjani, Jodhpur, Ahmedabad, Gujarat 380015, India",ChIJodFHNs6EXjkRG9RYqsnU0Qo,28.616389,84.7425,1,380015,OK,"clothing_store,establishment,point_of_interest,store"
410,SAUL,Saula,,Manaslu Himal (ENE of Samagaon on Tibetan border),6235,20456,15,4,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,410,APPROXIMATE,"Saula, Harju County, Estonia",ChIJT8go21XckkYRh5tNd96jk38,28.613889,84.756111,1,,OK,"locality,political"
411,YALA,Yala Chuli,Yara Chuli,Palchung Himal (SE of Changdi on Tibetan border),6236,20459,11,7,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,411,,,,29.689444,82.828889,0,,ZERO_RESULTS,
412,RHIM,Rhimbu,,Shringi Himal (S of Tobsar),6210,20374,5,4,True,False,False,,Opened in 2014,1,1,,0,0,,,,Unclimbed,,,,,412,ROOFTOP,"Rhombus, Morley Rd, Farnham GU9 8LX, UK",ChIJf2EE5AUtdEgRYz8z5MCfEXo,28.559444,85.0475,1,GU9 8LX,OK,premise
413,SANC,Sanctuary Peak,,Kanjiroba Himal (N of Kanjiroba North),6207,20364,10,7,True,False,False,,Opened in 2014,1,1,,0,0,,,,Unclimbed,,,,,413,ROOFTOP,"4205 W Grandview Rd, Salem, IN 47167, USA",ChIJSUSfVV1RaYgROZMfVJhlgKw,29.423889,82.625833,2,47167,OK,"establishment,point_of_interest"
414,LASA,Lasa,,Byas Risi Himal (NNW of Nampa on Tibetan border),6189,20305,2,7,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,414,ROOFTOP,"727 N Broadway #120, Los Angeles, CA 90012, USA",ChIJk3enX1rGwoARARB8Q8dTh1I,30.135833,81.084167,1,90012,OK,"establishment,food,point_of_interest,restaurant"
415,PERI,Peri,,Langtang Himal (SE of Langtang Ri on Tibetan border),6174,20256,13,3,True,False,False,,Opened in 2014,4,2,,2016,3,PERI16301,Dec 06,"Italy, Nepal","Werner Frei, Pasang Sherpa, Sandesh Sherpa",,,,Dec 06 2016,415,APPROXIMATE,"Pér, 9099 Hungary",ChIJfzf6qnnIa0cR6tNWsu0CoUM,28.353056,85.723611,9,9099,OK,"locality,political"
416,DWIJ,Dwijen Himal,,Shringi Himal (NE of Ghap village on Tibetan border),6169,20240,5,4,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,416,,,,28.593333,84.903333,0,,ZERO_RESULTS,
417,JABR,Jabou Ri,,Rolwaling Himal (S of Tarkago),6166,20230,19,2,True,False,False,,Opened in 2014,1,2,,2015,3,JABR15301,Sep 15,USA,"Ryan Waters, Eric Larsen",,,,Sep 15 2015,417,ROOFTOP,"11878 Gravois Rd, Sappington, MO 63127, USA",ChIJ68iGzN7O2IcR1Jy2-9xccXI,27.853889,86.515278,1,63127,OK,"accounting,establishment,finance,point_of_interest"
418,BEDG,Beding Go,Bedding Go,Rolwaling Himal (N of Beding village on Tibetan border),6125,20095,19,2,True,False,False,,Opened in 2014,4,2,,2015,3,BEDG15301,Oct 21,"Nepal, Canada, Brazil, Ireland","Mingma Tshering/Tsiri Sherpa, Dean Carriere, Dino De Almeida Camargo, Cian O'Brolchain, Nima Gyalzen Sherpa, Pasang Tenzing Sherpa, Tshering Pemba Sherpa",,,,Oct 21 2015,418,ROOFTOP,"1226 Industrial Blvd, Crossville, TN 38555, USA",ChIJOwoEk7hQZ4gRT-mTuYhGR98,27.925833,86.393056,1,38555,OK,"establishment,furniture_store,home_goods_store,lodging,point_of_interest,store"
419,TAKN,Takphu North,,Nalakankar Himal (on W Nepal/Tibetan border),6142,20151,17,7,True,False,False,,Opened in 2014,4,2,,2016,3,TAKN16301,Oct 12,"Germany, Nepal","Herbert Bader, Karl Henge, Tassilo Hock, Josef Knitz, Annabelle Rochelt, Alois Sinz, Bhai Krishna Khadka",,,,Oct 12 2016,419,,,,30.303611,81.422222,0,,ZERO_RESULTS,
420,BHUL,Bhulu Lhasa,,Kanjiroba Himal (NNW of Kanjiroba North),6102,20020,10,7,True,False,False,,Opened in 2014,1,2,,1964,3,BHUL64301,Oct 31,"UK, Nepal","John Tyson, John Cole, Robert Kendall, Mingma Sherpa",,,,Oct 31 1964,420,,,,29.441389,82.599444,0,,ZERO_RESULTS,
421,LNAK,Lhonak,Rifil Peak,Janak Himal (WNW of Drohmo),6070,19915,6,1,True,False,False,,Opened in 2014,1,1,,0,0,,,,Unclimbed,Possibly climbed by Japanese Dzanye II team in Autumn 2015,,,,421,APPROXIMATE,"Lhonak, Sikkim 737120, India",ChIJrZiOU-nh5jkRJG-FDIQBqEU,27.831944,88.057222,1,737120,OK,"locality,political"
422,ROLM,Rolmi,,Shringi Himal (S of Tobsar),6056,19869,5,4,True,False,False,,Opened in 2014,1,1,,0,0,,,,Unclimbed,,,,,422,ROOFTOP,"3001 S Academy Blvd, Colorado Springs, CO 80916, USA",ChIJ_9P7Oa5FE4cRnZokk2afX08,28.567778,85.050278,1,80916,OK,"establishment,place_of_worship,point_of_interest"
423,ACHN,Aichyn,"Aychin, Ashvin",Chandi Himal (SW of Changwathang),6055,19865,17,7,True,False,False,,Opened in 2014,1,2,,2015,3,ACHN15301,Sep 03,Japan,"Hiroki Senda, et al",,,,Sep 03 2015,423,,,,30.270833,81.859722,0,,ZERO_RESULTS,
424,ARDN,Ardang,,Phupharka Himal (NW of Simikot),6034,19797,17,7,True,False,False,,Opened in 2014,1,1,,0,0,,,,Unclimbed,,,,,424,APPROXIMATE,"Ardang Lekthe, Assam 782470, India",ChIJX8K3xd54RjcRgBY7aKmWJWI,30.198889,81.623333,1,782470,OK,"locality,political"
425,LUNG,Lungchhung,,Palchung Himal (NE of Kanjiroba on Tibetan border),6043,19826,11,7,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,425,,,,29.628333,83.122222,0,,ZERO_RESULTS,
426,KHNG,Khung,,Palchung Himal (NE of Kanjiroba on Tibetan border),6024,19764,11,7,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,426,APPROXIMATE,"Khung, Nepal",ChIJS84gM8E2ljkRq0Eqi2gIXy4,29.624722,83.144167,1,,OK,"locality,political"
427,CHND,Chandi Himal,,Chandi Himal (NE of Simikot on Tibetan border),6142,20151,17,7,True,False,False,,Opened in 2002,4,1,,0,0,,,,Unclimbed,Climbed illegally by Sean Burch in October 2016?,,,,427,,,,30.359167,81.951389,0,,ZERO_RESULTS,
428,KALI,Kali Himal,"Chota Ri, Baruntse North",Khumbu Himal (NW of Baruntse),6985,22917,12,2,True,False,False,,Opened in 2002,1,2,,1983,1,KALI83101,Apr 05,Netherlands,"Joost Ubblink, Edwin Van Nieuwkerk",,,,Apr 05 1983,428,GEOMETRIC_CENTER,"Gf5, Akshar Complex, Near Shivranjani Cross Road, Satellite, Satellite, Shivranjani, Jodhpur, Ahmedabad, Gujarat 380015, India",ChIJodFHNs6EXjkRG9RYqsnU0Qo,27.877222,86.975556,1,380015,OK,"clothing_store,establishment,point_of_interest,store"
429,DHEC,Dhechyan Kang,,Damodar Himal (ESE of Gaugiri on Tibetan border),6019,19747,3,5,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,429,,,,29.035833,84.251944,0,,ZERO_RESULTS,
430,EKRA,Ek Rate Danda,,"Khumbu Himal (in Hongku Valley, S of Chamlang)",6213,20384,12,2,True,False,False,,Opened in 2002,1,1,,0,0,,,,Unclimbed,,,,,430,,,,27.708889,87.005,0,,ZERO_RESULTS,
431,GHYN,Ghyun Himal I,,Mustang Himal (N of Ghyun Khola on Tibetan border),6110,20046,16,6,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,431,,,,29.244167,83.781944,0,,ZERO_RESULTS,
432,GORH,Gorakh Himal,,Gorakh Himal (NE of Simikot on Tibetan border),6198,20335,17,7,True,False,False,,Opened in 2002,4,1,,0,0,,,,Unclimbed,,,,,432,APPROXIMATE,"Gorakh Hill Station, Pakistan",ChIJ91B6acilyj4R6uI9Y7BCbfs,24.816667,82.313889,1,,OK,"establishment,natural_feature"
433,HONK,Hongku,"Honku, Sura Peak","Khumbu Himal (in Hongku Valley, N of Chamlang)",6764,22192,12,2,True,False,False,,Opened in 2003,1,1,,0,0,,,,Unclimbed,Climbed in 2015?,,,,433,ROOFTOP,"2379 E Colorado Blvd, Pasadena, CA 91107, USA",ChIJf-DJb6jcwoARy9_8TVKXGPg,27.826,86.977,1,91107,OK,"dentist,establishment,health,point_of_interest"
434,KARK,Karko,,Saipal Himal (WNW of Saipal),6015,19734,20,7,True,False,False,,Opened in 2002,1,1,,0,0,,,,Unclimbed?,,,,,434,APPROXIMATE,Karko 791002,ChIJSUB3ohKqajcR2yB51dbV7zE,29.920278,81.219167,5,791002,OK,"locality,political"
435,KARS,Karsang Kang,"Kharsang, Kesang Khang, UAAA Peak",Damodar Himal (NE of Saribung),6225,20423,3,5,True,False,False,,Opened in 2014,1,2,,2008,3,KARS08301,Oct 11,France,"Paulo Grobel, Mary Cler",,,,Oct 11 2008,435,,,,28.933333,84.169444,0,,ZERO_RESULTS,
436,KHAY,Khayang,,Manaslu Himal (E of Samdo Peak on Tibetan border),6186,20295,15,4,True,False,False,,Opened in 2003,4,1,,0,0,,,,Unclimbed?,,,,,436,APPROXIMATE,"Khayang, Manipur 795142, India",ChIJpUH05QNFSDcRpUzkW91VGdE,28.633611,84.715278,2,795142,OK,"locality,political"
