,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
193,APPROXIMATE,"23811 Ballabio LC, Italy",ChIJRR0ShVUDhEcRvYuX468NFO0,"Ballabio, Como, Italy",45.8961902,9.4251632,1,23811,OK,"locality,political"
194,APPROXIMATE,"21012 Cassano Magnago, VA, Italy",ChIJ36GXA6iJhkcRCfhDT8mhcI4,"Cassano Magnago, Varese, Italy",45.6717299,8.8272627,1,21012,OK,"locality,political"
195,APPROXIMATE,"23811 Ballabio LC, Italy",ChIJRR0ShVUDhEcRvYuX468NFO0,"Ballabio, Como, Italy",45.8961902,9.4251632,1,23811,OK,"locality,political"
196,APPROXIMATE,"23900 Lecco, Province of Lecco, Italy",ChIJVTN5KtMChEcRAgbIC6erfI8,"Lecco, Italy",45.8565698,9.3976704,1,23900,OK,"locality,political"
197,APPROXIMATE,"23845 Costa Masnaga, Province of Lecco, Italy",ChIJe-Z5JUWhhkcR8GpoLgJ4BgQ,"Costamasnaga, Como, Italy",45.7684041,9.2678861,1,23845,OK,"administrative_area_level_3,political"
198,APPROXIMATE,"23900 Lecco, Province of Lecco, Italy",ChIJVTN5KtMChEcRAgbIC6erfI8,"Lecco, Italy",45.8565698,9.3976704,1,23900,OK,"locality,political"
199,APPROXIMATE,"Tokyo, Japan",ChIJ51cu8IcbXWARiRtXIothAS4,"Tokyo, Japan",35.6894875,139.6917064,1,,OK,"administrative_area_level_1,locality,political"
200,APPROXIMATE,"Yokohama, Kanagawa Prefecture, Japan",ChIJCWW2u-xbGGARAFQoYPaDlgY,"Yokohama, Japan",35.4437078,139.6380256,1,,OK,"locality,political"
201,APPROXIMATE,"Tsuchiura, Ibaraki Prefecture, Japan",ChIJn-WKrcASImAR0NDS_e7uS84,"Tsuchiura, Ibaraki, Japan",36.0782972,140.2043331,1,,OK,"locality,political"
202,APPROXIMATE,"Tokyo, Japan",ChIJ51cu8IcbXWARiRtXIothAS4,"Tokyo, Japan",35.6894875,139.6917064,1,,OK,"administrative_area_level_1,locality,political"
203,APPROXIMATE,"Tokyo, Japan",ChIJ51cu8IcbXWARiRtXIothAS4,"Tokyo, Japan",35.6894875,139.6917064,1,,OK,"administrative_area_level_1,locality,political"
204,APPROXIMATE,"Yotsukaido, Chiba Prefecture, Japan",ChIJ-a9UX4KFImARFuxamr92rG8,"Yotsukaido, Chiba, Japan",35.6698162,140.1679247,1,,OK,"locality,political"
205,APPROXIMATE,"39048 Selva di Val Gardena BZ, Italy",ChIJ6XMateUUeEcRPIH7TRrm0Bg,"Selva Gardena, Bolzano, Italy",46.5564624,11.7546575,1,39048,OK,"locality,political"
206,APPROXIMATE,"78000 Versailles, France",ChIJvSD0dbR95kcRukqEDa0AnoY,"Versailles, Yvelines, France",48.801408,2.130122,1,78000,OK,"locality,political"
207,APPROXIMATE,"10015 Ivrea, Metropolitan City of Turin, Italy",ChIJ_cXz1peEiEcRWMtj5GnAAcM,"Ivrea, Torino, Italy",45.4672764,7.8800589,1,10015,OK,"locality,political"
208,APPROXIMATE,"88000 Épinal, France",ChIJnzmpjH2gk0cR3kbdUHWkKO0,"Epinal, Vosges, France",48.172402,6.449403,1,88000,OK,"locality,political"
