21,APPROXIMATE,"Lyon, France",ChIJl4foalHq9EcR8CG75CqrCAQ,"Lyon, Rhone, France",45.764043,4.835659,1,,OK,"locality,political"
22,,,,"Pangboche, Khumbu",,,0,,ZERO_RESULTS,
23,APPROXIMATE,"Innsbruck, Austria",ChIJc8r44c9unUcRDZsdKH0cIJ0,"Innsbruck, Tirol, Austria",47.2692124,11.4041024,1,,OK,"locality,political"
24,APPROXIMATE,"Seattle, WA, USA",ChIJVTPokywQkFQRmtVEaUZlJRA,"Seattle, Washington",47.6062095,-122.3320708,1,,OK,"locality,political"
25,,,,"Thamo, Khumbu",,,0,,ZERO_RESULTS,
26,APPROXIMATE,"Dubuque, IA, USA",ChIJ04aKwIQr44cRR3GjJsYevrQ,"Dubuque, Iowa",42.5005583,-90.6645718,1,,OK,"locality,political"
27,APPROXIMATE,"Khumbu Glacier, Khumjung 56000, Nepal",ChIJH3KzaOWr6TkRHAp3LqlCPHs,"Khumjung, Khumbu",27.9720199,86.8308194,2,56000,OK,"establishment,natural_feature"
28,APPROXIMATE,"Ramsbottom, Bury, UK",ChIJ6Y2en9iie0gRH5MUb_c9ONQ,"Ramsbottom, Lancashire, England",53.648457,-2.32049,1,,OK,"locality,political"
29,GEOMETRIC_CENTER,"Khumjung 56000, Nepal",ChIJYQ8y1NMH6TkRbpBwlo_T68U,"Phortse, Khumbu",27.8455699,86.7488087,1,56000,OK,"establishment,point_of_interest,school"
30,APPROXIMATE,"Khumbu Glacier, Khumjung 56000, Nepal",ChIJH3KzaOWr6TkRHAp3LqlCPHs,"Khumjung, Khumbu",27.9720199,86.8308194,2,56000,OK,"establishment,natural_feature"
31,APPROXIMATE,"Gaddesden Row, Hemel Hempstead HP2 6HG, UK",ChIJM8e0-ypEdkgRiRq_BMDrokk,"Gaddesden Row, Hertford, England",51.8066955,-0.4793583,1,HP2 6HG,OK,"locality,political"
32,APPROXIMATE,"69890 La Tour-de-Salvagny, France",ChIJ3xbLZauS9EcRIBq75CqrCAQ,"La Tour-de-Salvagny, Rhone, France",45.815399,4.717265,1,69890,OK,"locality,political"
33,,,,"Hatiya-2, Makalu-Barun",,,0,,ZERO_RESULTS,
34,APPROXIMATE,"9200 Dendermonde, Belgium",ChIJX2LQFTCRw0cRDShcjZdlqwY,"Dendermonde, Belgium",51.025477,4.1019516,1,9200,OK,"locality,political"
35,APPROXIMATE,"Khumbu Glacier, Khumjung 56000, Nepal",ChIJH3KzaOWr6TkRHAp3LqlCPHs,"Khumjung, Khumbu",27.9720199,86.8308194,2,56000,OK,"establishment,natural_feature"
36,APPROXIMATE,"Bhadrapur, Nepal",ChIJdXsosmGu5TkRl0FnO3GEybc,"Bhadrapur, Jhapa",26.5363305,88.0803051,1,,OK,"locality,political"
37,GEOMETRIC_CENTER,"56000, Nepal",ChIJJ4Bgztoh6TkRJ8s1Mh7Zoe0,"Gudel-9, Solukhumbu",27.5037346,86.8552672,1,56000,OK,"establishment,point_of_interest,school"
38,APPROXIMATE,"Toowoomba QLD, Australia",ChIJj2XjSLpElmsRUL8gf_HuAAQ,"Toowoomba, QLD, Australia",-27.5598212,151.9506696,1,,OK,"colloquial_area,locality,political"
39,,,,"Yilajung, Khumbu",,,0,,ZERO_RESULTS,
40,APPROXIMATE,"Pune, Maharashtra, India",ChIJARFGZy6_wjsRQ-Oenb9DjYI,"Pune, Maharashtra, India",18.5204303,73.8567437,1,,OK,"locality,political"
41,,,,"Thami, Khumbu",,,0,,ZERO_RESULTS,
42,APPROXIMATE,"Brisbane QLD, Australia",ChIJM9KTrJpXkWsRQK_e81qjAgQ,"Brisbane, QLD, Australia",-27.4697707,153.0251235,1,,OK,"colloquial_area,locality,political"
43,APPROXIMATE,"Satna, Madhya Pradesh, India",ChIJQVHVoBJ_hDkR4jVuODSDIKY,"Satna, Madhya Pradesh, India",24.6005075,80.8322428,1,,OK,"locality,political"
44,APPROXIMATE,"Khumbu Glacier, Khumjung 56000, Nepal",ChIJH3KzaOWr6TkRHAp3LqlCPHs,"Khumjung, Khumbu",27.9720199,86.8308194,2,56000,OK,"establishment,natural_feature"
45,APPROXIMATE,"Khumbu Glacier, Khumjung 56000, Nepal",ChIJH3KzaOWr6TkRHAp3LqlCPHs,"Khumjung, Khumbu",27.9720199,86.8308194,2,56000,OK,"establishment,natural_feature"
46,,,,"Thami, Khumbu",,,0,,ZERO_RESULTS,
47,APPROXIMATE,"Kharikhola, 56000, Nepal",ChIJv5X_yjMX6TkRtPc2zzJJ3NI,"Kharikhola, Solukhumbu",27.601821,86.7139704,1,56000,OK,"neighborhood,political"
48,GEOMETRIC_CENTER,"Khumjung 56000, Nepal",ChIJYQ8y1NMH6TkRbpBwlo_T68U,"Phortse, Khumbu",27.8455699,86.7488087,1,56000,OK,"establishment,point_of_interest,school"
49,APPROXIMATE,"Beding 45500, Nepal",ChIJxyo5TV6C6TkRT4GAy5PjFU4,"Beding, Dolakha",27.9030791,86.37632,1,45500,OK,"locality,political"
50,,,,"Samde, Khumbu",,,0,,ZERO_RESULTS,
51,GEOMETRIC_CENTER,"Khumjung 56000, Nepal",ChIJYQ8y1NMH6TkRbpBwlo_T68U,"Phortse, Khumbu",27.8455699,86.7488087,1,56000,OK,"establishment,point_of_interest,school"
52,,,,"Pangboche, Khumbu",,,0,,ZERO_RESULTS,
53,,,,"Nurbugaon, Walung, Makalu-Barun",,,0,,ZERO_RESULTS,
54,APPROXIMATE,"Raidighi, West Bengal, India",ChIJY3pBp_FIAjoRN5PspGj1CaM,"Raidighi, West Bengal, India",22.001195,88.4353595,1,,OK,"locality,political"
55,APPROXIMATE,"Kolkata, West Bengal, India",ChIJZ_YISduC-DkRvCxsj-Yw40M,"Kolkata , India",22.572646,88.363895,1,,OK,"locality,political"
56,APPROXIMATE,"Howrah, West Bengal, India",ChIJX8oAvkmC-DkR6NZLL8SWVD8,"Howrah, West Bengal, India",22.5957689,88.2636394,1,,OK,"locality,political"
57,APPROXIMATE,"Kolkata, West Bengal, India",ChIJZ_YISduC-DkRvCxsj-Yw40M,"Kolkata , India",22.572646,88.363895,1,,OK,"locality,political"
